"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKF2",469,381,240,5085,3129,4686,290,2242,3695,264,5020,1135,28067430,404,1073,622,757,5019,762,360,207877,5218,8249,1496,2599,1444,1920,226,2605,2360,3047,131,6618,1669,100,189,705
"UKF3",244,1406,3,292,159,92,19,134,73,581,609,245,219,5385686,356,250,95,941,190,69,5936,974,3945,3906,1638,31,8020,134,55,68,39,230,775,575,107,54,619
"UKG1",806,458,180,2420,521,6712,203,211,1513,867,1023,862,1765,300,25059562,2301,13090,996,1570,48284,87487,80131,10650,653524,1797,2830,2099,432,2610,594,1194,402,1119,2608,241,238,1835
"UKG2",163,6726,1246,7499,1038,1248,46,25,1667,85,77,2552,6489,356,1251,13081290,878,958,189,3197,59598,532,11188,865,1605,2181,1218,186,220,1027,146,581,805,16936,640,1811,185
"UKG3",48627,374,35,2724,390,1170,63,86,1002,308,942,440,878,92,1099,1746,22850862,1259,365,4892,25546,4218,12212,4248,753,1541,2120,181,921,345,211,49,1092,2705,13,146,479
"UKH1",99,22654,888,1411,1197,391,148,542,1284,10694,1022,1263,23514,360,422,1104,2839,28036918,6849,1362,19794,2193,9950,3302,4569,2212,6331,2774,461,1019,1354,670,2109,22472,42,433,469
"UKH2",457,1422,100,1033,495,491,49,277,1673,5977,5733,2803,1344,3211,457,6478,1075,1670,35366948,1908,19203,7036,7045,2570,2515,14247,6746,1232,158,251,1434,239,12913,10169,101,143,1341
"UKH3",216,205,93,1896,663,675,58,256,2903,418,9510,187,657,76,4275,3340,958,1346,1792,18150798,16771,54912,6035,31834,406,7612,1285,366,545,189,271,4467,812,1960,38,53,155
"UKI1",6433,18279,1942,271476,9311,101015,2654,16293,13945,23945,14977,27625,8911,1481,8257,27571,55077,14491,20272,13877,517293825,89692,149042,88249,22046,38368,141150,22919,185171,11051,61432,1882,239038,175410,484,2956,9951
"UKI2",1562,14233,10182,13084,10033,8396,280,202,1339,1806,1686,3654,11579,359,8844,742,5257,4627,2666,12737,188787,102915459,51310,11519,2623,8864,28884,1420,929,978,697,313,4509,38181,219,268,1214
"UKJ1",1384,13821,598,4079,2394,1056,1686,322,3404,1046,8044,2681,2259,2994,3396,2128,2378,3430,12141,982,136539,13265,58207473,48458,8933,2741,10695,1861,817,1551,1403,2024,9599,61833,1281,612,2815
"UKJ2",4846,2427,212,3280,1776,1778,229,3448,11576,2577,32682,2318,1218,448,14668,1104,3587,7355,2645,410661,141224,10459,22723,53159681,47066,4468,9572,1772,44502,1512,2779,606,3975,26657,146,483,3316
"UKJ3",6182,2742,249,6905,360,958,281,111,1135,1887,2972,437,547,239,573,1790,2724,5325,8235,958,37207,45778,26080,10635,23237222,539,1281,1597,2251,2014,451,245,736,3022,70,158,579
"UKJ4",277,4259,51,1866,446,253,426,16,2707,211,7772,485,296,358,222,610,840,1052,408,204,50776,14515,17213,3078,2342,15447361,2274,196,199,4287,818,149,4540,2045,15,141,431
"UKK1",869,2868,118,5185,970,988,191,1853,5215,5667,4008,2104,650,217,1673,704,19039,2528,2236,1389,81981,4403,17666,77681,2345,4265,41104690,1288,2887,10128,917,1128,8894,2301,89,94,1274
"UKK2",4265,415,56,323,513,227,23,653,3204,311,151,820,2288,79,407,2723,1060,3174,2540,9519,23591,1090,16399,3457,2447,7074,1593,14176010,551,1309,1030,2261,810,7830,62,106,151
"UKK3",81,179,84,193,606,1328,64,93,1157,28,302,1364,209,35,493,125,175,1795,3417,1195,4527,927,2273,2829,291,137,628,240,8383154,462,1197,176,553,572,90,58,300
"UKK4",96,1275,89,986,725,379,150,80,522,14047,21552,1640,829,4339,1023,356,1690,1983,1081,1136,26268,1560,6756,4695,5530,1998,13070,2613,20724,20509908,286,133,1469,4375,169,132,19183
"UKL1",159,1460,170,1137,1227,414,56,45,1301,3876,317,1383,43235,162,1025,993,451,1446,253,846,39748,2214,40414,3421,3164,805,3324,242,8084,693,16614004,1434,1222,2457,55,4986,1061
"UKL2",143,1568,145,201,1497,256,30709,50,251,141,51,624,114,29,332,260,397,336,751,78,9631,394,10683,480,2016,1314,2109,667,117,151,784,14269817,1307,1825,26,26,3422
"UKM2",1133,2348,1626,1690,3122,942,67,130,934,529,988,1008,1719,146,422,495,5094,2925,2654,327,31048,1598,18092,7034,1211,1641,2164,485,4001,685,3863,476,24890873,18562,540,1134,410
"UKM3",51,268,86,289,406,487,56,38,456,109,162,7363,171,83,135,84,191,665,259,122268,77535,1017,6577,291,695,540,951,1040,58436,49,107,76,3765,30769945,666,31735,423
"UKM5",53,1,15,35,58,159,0,22,217,43,30,78,77,22,27,34,25,104,51,157,880,105,1201,161,195,4,96,31,248,19,11,8,301,245,10938416,67,8
"UKM6",55,99,102,315,151,369599,23,80,334,44,305,82,259,27,534,2001,440,1267,393,144,2968,1117,4528,365,432,298,261,80,473634,246,247,56,2731,36197,43,4686893,55
"UKN0",38,30,20,369,175,67,14,123,26296,49,75,219,89,36,37,104,267,509,30995,225,154143,436,2674,283,548,241,325,467,29,134,366,51,201,552,3,25,2496690
