"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKF2",41,134,28,805,531,144,9,95,31,67,285,1155,8263583,178,264,777,804,2382,441,4324,11459,2008,2226,3123,1123,400,3401,432,142,924,104,1492,702,2578,37,1207,191
"UKF3",631,831,95,337,55,62,19,15,22,1385,88,290,131,2439054,96,18,132,799,204,2227,3220,234,481,585,140,41,199,179,46,151,238,109,50,912,17,74,257
"UKG1",108,123,265,8303,317,1047,124,147,280,205,299,1693,888,182,111501987,776,1550,2024,1401,8336,355440,2330,4006,2484,1337,788,3639,3976,202,451,278,3765,609,1833,53,509,49
"UKG2",20,314,41,1119,670,443,17,49,389,59,208,411,794,37,119,21457917,497,1259,225,6165,11496,3438,943,7865,160,890,805,457,106,470,319,543,11045,2216,22,297,33
"UKG3",4839,196,99,2156,256,492,8,94,44,647,1825,381,182,44,1020,468,10656919,9464,3310,13689,17460,842,15670,2441,732,496,2546,419,112,764,150,2320,564,2172,9,76,12736
"UKH1",2694,1084,156,5489,3266,848,51,122,241,195,940,1601,3454,219,2868,1301,1047,15670287,2863,22186,21630,2782,2857,30184,2710,495,3957,3243,264,1186,293,88372,1110,3274,150,886,742
"UKH2",34,260,140,3983,377,154,152,293,309,25,798,155,463,41,95,197,1154,1052,13023458,9620,35950,3951,2791,2306,555,283,4093,1893,319,1408,145,1275,511,3988,70,623,603
"UKH3",131,177,57,1464,236,774,4,107,168,70,6234,306,641,320,296,141,759,640,599,13890206,21100,1709,10866,4157,254,260,3853,9299,164,348,76,1405,1025,6954,32,544,1481
"UKI1",1222,7037,1021,12943,6371,4655,818,1936,1389,12569,5703,59959,55426,1498,381690,6379,15370,27371,8533,21243,182456769,36326,158701,28257,7525,3070,12397,6162,96389,8146,7484,80354,12603,16145,256,4150,4601
"UKI2",810,879,149,2249,3319,2680,99,10147,574,1254,692,1723,803,266,2057,2540,1478,4755,3309,17119,93405,76411014,141382,11762,2143,1458,2075,6128,413,2082,268,4340,880,9574,38,842,1433
"UKJ1",252,2911,572,3028,980,6204,116,372,476,2777,1149,1823,1866,724,810,3217,1924,7288,2302,11250,95746,6245,55946731,26082,9908,1460,21336,3298,677,10187,2989,12403,2413,6109,79,1352,2814
"UKJ2",611,1583,646,13073,2009,2807,250,7534,498,1300,1788,2901,2855,3030,944,5045,2035,14183,2562,13376,89171,11224,15722,106608306,8311,3332,6173,4698,1602,3722,905,6031,3142,12927,174,1810,37281
"UKJ3",631,230,112,33008,434,208,20,234,100,146,1991,584,1808,146,210,820,1234,1544,795,13301,25194,35205,4183,8901,20286544,762,6755,1477,243,678,276,4694,613,4635,42,598,189
"UKJ4",627,87,261,794,275,285,39,81,139,106,301,1108,669,49,146,187,709,848,475,16288,11474,1332,3979,58178,1001,6674538,739,623,140,1802,190,3538,455,5135,11,147,1129
"UKK1",1356,724,261,1017,832,863,234,248,366,721,983,5290,1171,113,490,1002,615,3566,1766,23060,30185,3889,8234,296919,2203,337,14755101,725,700,3119,566,4904,398,7903,140,14062,463
"UKK2",1134,528,642,4902,972,776,274,914,357,1999,3507,1719,1015,349,1389,2411,1360,3724,2060,14875,763342,13863,25194,11121,3631,8365,18143,9002605,6839,2121,2108,3271,15495,4990,551,1011,599
"UKK3",27,483,142,437,551,176,1,14,19,44,211,105,111,1083,156,62,975,239,300,6620,10722,443,1705,1911,368,54,270,341,7711007,507,108,248,231,2442,4,396,349
"UKK4",1062,872,249,1432,569,393,197,324,118,18723,602,491,1262,158,579,1031,743,4625,633,16887,25042,3949,6395,7960,4385,390,1367,1202,542,12495775,795,7362,415,5452,346,648,292
"UKL1",35,69,36,3182,92,56,5,95,71,116,246,574,218,52,105,179,353,551,413,6962,8959,26066,841,1842,335,420,1002,256,192,332,5347343,2131,76,2957,24,107,96
"UKL2",516,313,155,1357,375,246,85,643,630,380,745,1055,531,96,463,373,756,950,7001,3122,19118,1939,8841,2590,858,266,1687,560,411,564,673,53295463,601,1810,122,99,240
"UKM2",171,815,50,2322,296,710,224,74,39,113,1080,511,223,45,141,589,339,3742,3907,13432,13102,3835,2393,6799,1417,92,486,542,181,523,99,3120,9733799,5288,138,1691,486
"UKM3",69,99,32,419,120,473,95,4845,2208,144,7459,1062,3918,89,72,44,310,584,1430,8349,28896,2031,1457,2047,454,314,292,821,49,2476,13436,1110,2492,11557040,25,19197,34
"UKM5",1,23,10,98,13,7,8,1,3,23,36,34,31,1,29,69,23,154,37,1976,807,180,136,546,83,251,65,80,19,90,16,392,80,443,1000767,140,148
"UKM6",29,336,82,298,295,255,10,39,68,68,39,394,120,94,191,129,199,747,275,13991,4893,925,6608,1955,308,107,687,1200,74,204,90,1411,701,28624,105,23154903,141
"UKN0",42,32,23,264,71,70,90,14,13,56,109,70,7354,70,73,232,198,757,633,4433,4289,182,512,329,109,82,427,168,41,49,32,527,54,1411,10,128,3980833
