"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKJ2",744,1060,301,3701,627,7970,150,530,305,2146,338,1544,25043,473,1952,1346,1439,37369,259808,613,262370,25153,6721,52390706,2703,11640,888,8895,54,1184,3625,2477,1277,400,43,105,1579
"UKJ3",81,976,65,3303,850,1623,39,16,287,421,146,176,10407,64,1026,991,616,5622,2261,6724,31311,2174,5177,14684,31555431,2126,1356,1000,88,971,6237,98,353,1091,346,191,714
"UKJ4",38,207,229,1223,634,263,34,152,66,346,147,219,10466,73,12129,250,2852,5936,512,771,7111,1072,574,1429,1168,28791975,579,161,116,805,726,47,75,126,1,9,8
"UKK1",557,257,5590,3095,754,685,55,42,136,507,410,5368,46150,623,4546,474,677,6161,2198,990,20920,8612,3660,8546,2091,7385,43224684,2684,270,4922,4973,213,297,356,19,343,112
"UKK2",62,208,167,318,890,146,306,53,746,571,306,1281,99127,32,1142,1477,400,3398,2535,174,5886,4601,1120,2150,1301,4935,5869,22657340,114,1028,1478,285,383,121,18,116,2813
"UKK3",1,358,50,137,35,19,33,6,58,133,46,155,3899,17,76,89,23,1135,39,91,1544,686,1032,272,683,114,849,12,4494851,1079,141,124,157,1256,15,8,1
"UKK4",94,79,79,915,60,85,52,25,45,186,99,1098,11172,5,334,274,149463,1125,295,149,27141,36725,2020,338,6334,1569,425,852,551,13657346,742,39,20012,118,14,53,11
"UKL1",417,336,43,275,1092,3198,22,16,315,200,1025,326,8280,38,503,56,991,1009,242,670,20597,14682,2502,6432,1887,903,2777,156,557,658,10163429,1028,339,1441,0,19,178
"UKL2",17,83,169,97,1113,65,21,26,139,287,45,66,3330,36,268,213,1750,556,184,177,23755,890,1972,636,376,444,1739,109,162,147,1871,7948009,28,5399,1,7,27
"UKM2",502,123,5604,329,79,334,40,51,250,56,143,532,6534,180,32,201,1490,606,970,93,27631,1621,1754,1729,424,1515,290,57,88,85,2142,118,7997073,1546,26,522,6
"UKM3",64,525,455,482,146,594,76,40,393,217,112,749,28500,30,248,153,180,6236,658,196,10383,1152,980,915,1457,3314,1229,11885,29,120,209,167,1309,171192597,94,33907,76
"UKM5",2,68,210,451,14,6,6,4,6,51,10,189,9762,15,4,92,8,29,9,1,291,63,67,36,173,2,18,7,2,3,45,19,189,28,2834741,34,2
"UKM6",2,23,769,514,189,63,9,4,187,53,127,37,2825,21,97,1203,46,180,21,24,1553,115,105,145,239,192,82,24,17,66,18,28,617,34386,2566,4925658,38
"UKN0",155,158,666,440,582,445,11,11,59,116,131,139,1472,3,34,30,81,1106,338,810,7051,170,1150,2532,162,23,590,220,9,45,46,263,172,419,7,38,1722906
