"","UKC1","UKC2","UKD1","UKD3","UKD4","UKD6","UKD7","UKE1","UKE2","UKE3","UKE4","UKF1","UKF2","UKF3","UKG1","UKG2","UKG3","UKH1","UKH2","UKH3","UKI1","UKI2","UKJ1","UKJ2","UKJ3","UKJ4","UKK1","UKK2","UKK3","UKK4","UKL1","UKL2","UKM2","UKM3","UKM5","UKM6","UKN0"
"UKJ1",2864,168,379,1157,375,592,49,142,3189,769,892,1047,8647,156370,541,708,7262,3643,1645,1544,64236,7443,33979996,3511,7802,1619,10008,2281,264,2042,15898,407,4560,4241,82,328,218
"UKJ2",729,2886,79,4032,12118,1185,7,136,276,336,570,1632,1573,1724,673,790,85112,5608,926,5094,106581,20162,4905,61860628,12998,966,10993,926,332,555,738,642,2168,413,128,52,44
"UKJ3",3196,2086,943,4236,1982,2266,8,56,1252,494,1261,2444,1677,914,576,293,983,2346,1690,1065,40651,7847,3637,8227,72166499,2971,18580,2231,168,954,661,492,8647,2042,845,538,146
"UKJ4",373,77,29,489,868,66,28,60,274,34338,206,2366,1016,623,3574,449,1393,1181,5510,1077,39526,4230,13361,1838,2851,12531794,1349,129,17,75,690,815,5167,250,7,216,13
"UKK1",614,888,232,4995,1073,666,65,1326,9437,672,866,5346,2544,1210,1513,1488,1299,7271,1361,2162,174646,10716,41268,51753,8441,653,36713567,4116,325,649,2028,751,3799,453,234,510,136
"UKK2",87,47,15,642,1179,2414,77,31,791,50,113,458,783,53191,208,235,229,974,1171,302,10708,5149,929,1191,8576,238,103798,13577766,105,2678,113,302,713,356,20,60,9
"UKK3",27,0,23,266,125,56,0,104,55,109,473,196,2630,89,30,34,157,410,595,131,5970,878,409,553,468,39,435,242,2114898,180,39,71,104,12,489,9,1
"UKK4",100,108,55,1693,412,193,26,68,346,46,1291,2240,2594,293,8799,192,246,1919,302,283,14213,3783,1007,1226,4129,158,974,409,529,26346656,200,1898,3936,46,82,46,24
"UKL1",9426,209,34,1596,181,625,29,32,302,410,57,896,332,380,206,212,336,627,451,291,8249,4927,3817,9554,3039,394,1237,185,19,80,8717890,845,281,66,35,116,29
"UKL2",135,59,20,386,340,321,0,371,833,33,42,75,2621,206,200,138,190,1176,183,842,33913,524,2832,2086,9812,225,1385,56,17,47,590,7474259,352,78,8,106,27
"UKM2",260,270,103,1487,2267,193,79,98,635,208,324,56562,1199,1032,4933,290,524,1325,712,741,45644,4676,12982,10190,4869,1219,7594,4048,116,576,2367,265,11738428,4147,73,630,18
"UKM3",30,3536,7,293,80,314,0,59,370,153,2269,302,766,295,4419,181,412,11504,662,512,15443,2321,1387,948,1919,123,746,670,1097,21,291,68,3181,8708980,11,31250,238
"UKM5",2,12,89,281,9,7,0,19,11,14,20,35,586,1259,19,28,58,223,137,96,2378,273,1204,179,340,12,253,346,0,14,55,25,729,24,10524565,192,2
"UKM6",32,14,77,271,113,32,6,76,141,115,45,52,65,179,43,33,87,229,71,319,7314,691,567,127,1841,143,2660,444,39,95,232,206,7440,31421,39,2043582,12
"UKN0",6,8,72,43,77,42,2,15,54,12,3,2,343,135,416390,15,244,157,96,69,14083,413,343,646,295,19,471,51,9,3,17,467,61,3,0,188,2908164
